D,E,F,G,D_new,E_new,F_new,G_new,new_active_compartments,observed_allocation
G:2,D:2 F:1,E:1 F:3,E:2,17,42,30,21,110,0
G:2,D:2 F:1,E:2 F:3,E:1,17,42,33,14,106,0
G:2,D:2 F:3,E:1 E:2,F:1,17,45,29,19,110,0
G:2,D:2 F:3,E:1 F:1,E:2,17,45,25,21,108,0
G:2,D:2 F:3,E:2 F:1,E:1,17,45,31,14,107,0
G:2,E:1 E:2,D:2 F:1,F:3,17,36,28,21,102,0
G:2,E:1 E:2,D:2 F:3,F:1,17,36,34,19,106,0
G:2,E:1 E:2,F:1 F:3,D:2,17,36,29,22,104,0
G:2,E:1 F:1,D:2 E:2,F:3,17,38,35,21,111,0
G:2,E:1 F:1,D:2 F:3,E:2,17,38,34,21,110,0
G:2,E:1 F:1,E:2 F:3,D:2,17,38,33,22,110,0
G:2,E:1 F:3,D:2 E:2,F:1,17,41,35,19,112,0
G:2,E:1 F:3,D:2 F:1,E:2,17,41,28,21,107,0
G:2,E:1 F:3,E:2 F:1,D:2,17,41,31,22,111,0
G:2,E:2 F:1,D:2 E:1,F:3,17,42,27,21,107,0
G:2,E:2 F:1,D:2 F:3,E:1,17,42,34,14,107,0
G:2,E:2 F:1,E:1 F:3,D:2,17,42,30,22,111,0
G:2,E:2 F:3,D:2 E:1,F:1,17,43,27,19,106,0
G:2,E:2 F:3,D:2 F:1,E:1,17,43,28,14,102,0
G:2,E:2 F:3,E:1 F:1,D:2,17,43,25,22,107,0
G:2,F:1 F:3,D:2 E:1,E:2,17,43,27,21,108,0
G:2,F:1 F:3,D:2 E:2,E:1,17,43,35,14,109,0
G:2,F:1 F:3,E:1 E:2,D:2,17,43,29,22,111,0
