run,ngram,top1,one_to_one,top3,top5,mean_rank,heldout_positions
22,2,0.42857142857142855,0.3333333333333333,0.6190476190476191,0.7619047619047619,3.619047619047619,444321241313414422222
22,3,0.38095238095238093,0.2857142857142857,0.6190476190476191,0.7619047619047619,3.619047619047619,444321241313414422222
22,4,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.6666666666666666,4.666666666666667,444321241313414422222
22,5,0.19047619047619047,0.19047619047619047,0.5714285714285714,0.6190476190476191,5.095238095238095,444321241313414422222
23,2,0.2857142857142857,0.09523809523809523,0.5238095238095238,0.7619047619047619,3.9523809523809526,233234111223144114214
23,3,0.23809523809523808,0.2857142857142857,0.6666666666666666,0.7142857142857143,3.9523809523809526,233234111223144114214
23,4,0.09523809523809523,0.19047619047619047,0.5238095238095238,0.6190476190476191,5.761904761904762,233234111223144114214
23,5,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.47619047619047616,7.619047619047619,233234111223144114214
24,2,0.23809523809523808,0.23809523809523808,0.6190476190476191,0.8095238095238095,3.9047619047619047,113331134412223241142
24,3,0.23809523809523808,0.19047619047619047,0.5238095238095238,0.6666666666666666,4.666666666666667,113331134412223241142
24,4,0.19047619047619047,0.09523809523809523,0.47619047619047616,0.5238095238095238,6.142857142857143,113331134412223241142
24,5,0.19047619047619047,0.09523809523809523,0.38095238095238093,0.47619047619047616,6.761904761904762,113331134412223241142
25,2,0.3333333333333333,0.23809523809523808,0.6666666666666666,0.8571428571428571,3.380952380952381,234122423213141333142
25,3,0.19047619047619047,0.047619047619047616,0.5714285714285714,0.7619047619047619,4.0,234122423213141333142
25,4,0.2857142857142857,0.09523809523809523,0.38095238095238093,0.47619047619047616,5.9523809523809526,234122423213141333142
25,5,0.23809523809523808,0.09523809523809523,0.42857142857142855,0.5238095238095238,6.285714285714286,234122423213141333142
26,2,0.38095238095238093,0.3333333333333333,0.6666666666666666,0.7619047619047619,4.095238095238095,444211231114114432411
26,3,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.8095238095238095,4.380952380952381,444211231114114432411
26,4,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.5714285714285714,5.619047619047619,444211231114114432411
26,5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5238095238095238,6.571428571428571,444211231114114432411
27,2,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.8571428571428571,3.6666666666666665,232423311121322234424
27,3,0.14285714285714285,0.14285714285714285,0.6190476190476191,0.7619047619047619,3.8095238095238093,232423311121322234424
27,4,0.19047619047619047,0.38095238095238093,0.5714285714285714,0.6666666666666666,4.380952380952381,232423311121322234424
27,5,0.19047619047619047,0.14285714285714285,0.42857142857142855,0.47619047619047616,6.571428571428571,232423311121322234424
28,2,0.3333333333333333,0.38095238095238093,0.7619047619047619,0.8095238095238095,2.857142857142857,242342331441412223241
28,3,0.2857142857142857,0.23809523809523808,0.6666666666666666,0.8571428571428571,3.1904761904761907,242342331441412223241
28,4,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.8095238095238095,4.095238095238095,242342331441412223241
