design,model,metric,mean,p2_5,p97_5
free_length_START_END,bi,HerbalA_outside_A2,0.19594410774410775,0.15151515151515152,0.24242424242424243
free_length_START_END,bi,VM_outside_HerbalA,0.03409764309764309,0.016835016835016835,0.05387205387205387
free_length_START_END,bi,Unattested,0.24226666666666669,0.19528619528619529,0.29292929292929293
free_length_START_END,bi,HerbalA_total,0.7236356902356902,0.67003367003367,0.7744107744107743
free_length_START_END,bi,VM_total,0.7577333333333334,0.7070707070707071,0.8047138047138047
free_length_START_END,bi,Outside_A2_total,0.23004175084175085,0.18181818181818182,0.27946127946127947
free_length_START_END,bi,Generated_types,173.5368,158.0,189.0
free_length_START_END,bi,A2_type_rate,0.2837121741722085,0.24043715846994534,0.3291139240506329
free_length_START_END,bi,HerbalA_type_rate,0.5358687311320188,0.4725241016652059,0.5989010989010989
free_length_START_END,bi,VM_type_rate,0.5916822985564553,0.5276039911009236,0.6574659497148934
free_length_START_END,bi,Hapax,136.0144,118.0,154.0
free_length_START_END,bi,Mean_length,3.985482154882155,3.7037037037037037,4.279461279461279
free_length_START_END,bi,SD_length,2.5166948573077814,2.1853792062149724,2.894022343638662
free_length_START_END,bi,One_char_rate,0.11162491582491582,0.07744107744107744,0.14814814814814814
free_length_START_END,bi,Eight_plus_rate,0.09052727272727272,0.06060606060606061,0.12457912457912458
free_length_START_END,tri,A2,0.6565939393939394,0.5993265993265994,0.7104377104377104
free_length_START_END,tri,HerbalA_outside_A2,0.17584781144781145,0.13468013468013468,0.21885521885521886
free_length_START_END,tri,VM_outside_HerbalA,0.034451178451178455,0.016835016835016835,0.05723905723905724
free_length_START_END,tri,Unattested,0.13310707070707073,0.09427609427609428,0.1750841750841751
free_length_START_END,tri,HerbalA_total,0.8324417508417508,0.7878787878787878,0.8754208754208754
free_length_START_END,tri,VM_total,0.8668929292929294,0.8249158249158249,0.9057239057239057
free_length_START_END,tri,Outside_A2_total,0.21029898989898987,0.16498316498316498,0.25925925925925924
free_length_START_END,tri,Generated_types,168.2514,154.0,183.0
free_length_START_END,tri,A2_type_rate,0.452589944103949,0.39779005524861877,0.5065811403508771
free_length_START_END,tri,HerbalA_type_rate,0.715807306618829,0.6534090909090909,0.7764705882352941
free_length_START_END,tri,VM_type_rate,0.7720712121312132,0.7127644880686493,0.8296802054154995
free_length_START_END,tri,Hapax,121.212,103.0,140.0
free_length_START_END,tri,Mean_length,3.985851851851852,3.7777777777777777,4.198653198653199
free_length_START_END,tri,SD_length,1.8113135812340297,1.6178002695981952,2.024687075695294
free_length_START_END,tri,One_char_rate,0.04744309764309764,0.02356902356902357,0.07407407407407407
free_length_START_END,tri,Eight_plus_rate,0.04400942760942761,0.02356902356902357,0.06734006734006734
