budget,run,word_types,hapax_legomena,mean_word_length,word_length_sd,one_character_rate,eight_plus_rate,bigram_jsd,trigram_jsd,word_boundary_jsd,paragraph_start_gallows,neutral_restart_gallows,dead_ends
575,8,189.0,134.0,3.962962962962963,1.5662610613920567,0.026936026936026935,0.013468013468013467,0.04710269979088041,0.10126758798593256,0.14368344699055427,1.0,0.15625,0.0
575,9,178.0,126.0,3.973063973063973,1.64714272734867,0.04377104377104377,0.003367003367003367,0.04818107360163677,0.11950553312430838,0.1298306219751889,1.0,0.0,0.0
575,10,166.0,111.0,3.797979797979798,1.632868195858571,0.0707070707070707,0.016835016835016835,0.039736770149115565,0.12516225706301468,0.10011301483646391,1.0,0.0,0.0
575,11,183.0,132.0,3.936026936026936,1.5610845230682864,0.04040404040404041,0.010101010101010102,0.051490518976920516,0.12190596092828769,0.12936999067812432,1.0,0.0,0.0
575,12,200.0,149.0,4.047138047138047,1.6507727680649262,0.04713804713804714,0.0,0.03819085000509558,0.10349318346044108,0.17033008551062342,1.0,0.0,0.0
575,13,201.0,151.0,3.98989898989899,1.6360518470887822,0.06397306397306397,0.010101010101010102,0.050596433049018785,0.12895786848625507,0.1462167792908498,1.0,0.0,0.0
575,14,186.0,133.0,3.952861952861953,1.6384891489969342,0.04713804713804714,0.013468013468013467,0.036017908092363105,0.11127929830463168,0.09392003310524621,1.0,0.0,0.0
575,15,182.0,127.0,3.95959595959596,1.5390704609891641,0.037037037037037035,0.003367003367003367,0.0486659428023192,0.11930203870834026,0.1360181283962022,1.0,0.0,0.0
575,16,190.0,145.0,4.023569023569023,1.6665000086726014,0.04040404040404041,0.02356902356902357,0.042840997288152126,0.11788197215376782,0.1482193646970101,1.0,0.0,0.0
575,17,192.0,144.0,4.006734006734007,1.6817364482689119,0.05387205387205387,0.013468013468013467,0.04278457365457525,0.0974361178772736,0.13097492283622036,1.0,0.0,0.0
575,18,190.0,137.0,3.9057239057239057,1.6609601999219648,0.06397306397306397,0.006734006734006734,0.038021159959725145,0.10658110518342535,0.1272066246278724,1.0,0.09375,0.0
575,19,179.0,124.0,3.962962962962963,1.654086453381822,0.037037037037037035,0.010101010101010102,0.04510076935023395,0.10278935616762136,0.10686706676896449,1.0,0.0,0.0
