budget,metric,mean,p2_5,p97_5
575,one_character_rate,0.048282828282828275,0.02432659932659933,0.07407407407407407
575,eight_plus_rate,0.011380471380471381,0.003367003367003367,0.02356902356902357
575,bigram_jsd,0.041930850365717816,0.03370655125589975,0.05419633654737713
575,trigram_jsd,0.11048709527404954,0.09036588250298913,0.130897963410658
575,word_boundary_jsd,0.12722348691151625,0.09839116356525464,0.16553997874128884
575,paragraph_start_gallows,1.0,1.0,1.0
575,neutral_restart_gallows,0.031,0.0,0.09375
575,dead_ends,0.0,0.0,0.0
600,word_types,188.268,171.225,202.55
600,hapax_legomena,136.1,114.0,156.0
600,mean_word_length,4.021414141414142,3.8051346801346804,4.1945286195286196
600,word_length_sd,1.6240555492885091,1.5275954352652164,1.7227551650259598
600,one_character_rate,0.04568350168350169,0.02356902356902357,0.06734006734006734
600,eight_plus_rate,0.012067340067340065,0.003367003367003367,0.026936026936026935
600,bigram_jsd,0.039143525449765904,0.02932006420565242,0.05102801963825588
600,trigram_jsd,0.10669900869933382,0.08744309805981666,0.12933731687394912
600,word_boundary_jsd,0.11394619119061193,0.08778370186358284,0.14414489565240746
600,paragraph_start_gallows,1.0,1.0,1.0
600,neutral_restart_gallows,0.029375,0.0,0.09375
600,dead_ends,0.0,0.0,0.0
625,word_types,187.132,174.0,202.0
625,hapax_legomena,135.236,117.0,150.775
625,mean_word_length,4.021616161616162,3.8526094276094276,4.191161616161616
625,word_length_sd,1.605624762393924,1.5001691689311807,1.704243767617589
625,one_character_rate,0.04181818181818182,0.017592592592592594,0.06397306397306397
625,eight_plus_rate,0.012121212121212121,0.0,0.026178451178451197
625,bigram_jsd,0.03700188888148132,0.0282162748614155,0.047613143111853586
625,trigram_jsd,0.10330342234929613,0.08608540358337237,0.12438165724870957
625,word_boundary_jsd,0.10866739281502527,0.08374347433012579,0.13985296799171407
625,paragraph_start_gallows,1.0,1.0,1.0
625,neutral_restart_gallows,0.025375,0.0,0.09375
625,dead_ends,0.0,0.0,0.0
650,word_types,185.484,170.0,199.0
650,hapax_legomena,133.692,117.225,152.0
650,mean_word_length,4.010424242424243,3.8346801346801347,4.18030303030303
650,word_length_sd,1.5994170576828888,1.4908327979900604,1.7085932547032159
650,one_character_rate,0.04094276094276094,0.017592592592592594,0.06397306397306397
650,eight_plus_rate,0.012094276094276093,0.0,0.026936026936026935
650,bigram_jsd,0.03844075352140621,0.030872250706149865,0.04929158108782803
650,trigram_jsd,0.10505548740481555,0.08649997931228072,0.1259857567903262
650,word_boundary_jsd,0.1060729047481478,0.07922868904522688,0.13389196048924853
650,paragraph_start_gallows,1.0,1.0,1.0
650,neutral_restart_gallows,0.024375,0.0,0.09375
650,dead_ends,0.0,0.0,0.0
