run,A2,HerbalA_outside_A2,VM_outside_HerbalA,Unattested,VM_total,Outside_A2_total,Generated_types,Hapax,A2_type_rate,HerbalA_type_rate,VM_type_rate
2007,0.5488215488215489,0.1717171717171717,0.05387205387205387,0.2255892255892256,0.7744107744107744,0.2255892255892256,183.0,127.0,0.36065573770491804,0.5901639344262295,0.6612021857923497
2008,0.5656565656565656,0.1111111111111111,0.06397306397306397,0.25925925925925924,0.7407407407407407,0.1750841750841751,186.0,136.0,0.3817204301075269,0.5376344086021505,0.6236559139784946
2009,0.5555555555555556,0.16498316498316498,0.04377104377104377,0.2356902356902357,0.7643097643097643,0.20875420875420875,189.0,129.0,0.3915343915343915,0.5978835978835979,0.656084656084656
2010,0.5454545454545454,0.15488215488215487,0.06060606060606061,0.23905723905723905,0.7609427609427609,0.21548821548821548,191.0,141.0,0.38219895287958117,0.5654450261780105,0.6387434554973822
2011,0.5488215488215489,0.1717171717171717,0.037037037037037035,0.24242424242424243,0.7575757575757576,0.20875420875420875,186.0,136.0,0.34408602150537637,0.5806451612903226,0.6290322580645161
2012,0.5858585858585859,0.18518518518518517,0.026936026936026935,0.20202020202020202,0.797979797979798,0.21212121212121213,179.0,127.0,0.39106145251396646,0.6312849162011173,0.6759776536312849
2013,0.5757575757575758,0.17845117845117844,0.03367003367003367,0.21212121212121213,0.7878787878787878,0.21212121212121213,188.0,136.0,0.39361702127659576,0.6276595744680851,0.6808510638297872
2014,0.5656565656565656,0.19528619528619529,0.037037037037037035,0.20202020202020202,0.797979797979798,0.23232323232323232,188.0,131.0,0.40425531914893614,0.648936170212766,0.6914893617021277
2015,0.569023569023569,0.1717171717171717,0.04713804713804714,0.21212121212121213,0.7878787878787878,0.21885521885521886,184.0,125.0,0.3858695652173913,0.6141304347826086,0.6739130434782609
2016,0.5723905723905723,0.21212121212121213,0.020202020202020204,0.19528619528619529,0.8047138047138047,0.23232323232323232,181.0,127.0,0.39226519337016574,0.6685082872928176,0.7016574585635359
2017,0.5286195286195287,0.15488215488215487,0.05387205387205387,0.26262626262626265,0.7373737373737373,0.20875420875420875,194.0,146.0,0.34536082474226804,0.5567010309278351,0.6237113402061856
2018,0.5791245791245792,0.15151515151515152,0.04713804713804714,0.2222222222222222,0.7777777777777778,0.19865319865319866,179.0,127.0,0.36312849162011174,0.5698324022346368,0.6480446927374302
2019,0.5185185185185185,0.17845117845117844,0.04377104377104377,0.25925925925925924,0.7407407407407407,0.2222222222222222,191.0,137.0,0.36649214659685864,0.5654450261780105,0.6178010471204188
2020,0.5622895622895623,0.16498316498316498,0.037037037037037035,0.2356902356902357,0.7643097643097643,0.20202020202020202,189.0,135.0,0.3968253968253968,0.6084656084656085,0.6613756613756614
2021,0.5016835016835017,0.19528619528619529,0.04040404040404041,0.26262626262626265,0.7373737373737373,0.2356902356902357,188.0,128.0,0.35638297872340424,0.5904255319148937,0.6436170212765957
2022,0.5218855218855218,0.1750841750841751,0.06060606060606061,0.24242424242424243,0.7575757575757576,0.2356902356902357,194.0,143.0,0.36082474226804123,0.5515463917525774,0.6288659793814433
