run,word_types,hapax_legomena,mean_word_length,word_length_sd,one_character_rate,eight_plus_rate,bigram_jsd,trigram_jsd,word_boundary_jsd,paragraph_start_gallows,neutral_restart_gallows,dead_ends
631,195.0,144.0,4.01010101010101,1.6090753738779697,0.03367003367003367,0.010101010101010102,0.040599441496510895,0.09740834689076949,0.12377743119177825,1.0,0.03125,0.0
632,178.0,117.0,3.9124579124579126,1.567476585967152,0.050505050505050504,0.006734006734006734,0.03254438897779722,0.09182925864106159,0.1024185547355774,1.0,0.03125,0.0
633,192.0,141.0,4.134680134680135,1.551162043619223,0.026936026936026935,0.020202020202020204,0.04672490597049575,0.12137847453388381,0.13809467953355603,1.0,0.0,0.0
634,182.0,129.0,3.962962962962963,1.6107724401190608,0.04377104377104377,0.016835016835016835,0.03692806209522051,0.10260221651231989,0.10218297634255896,1.0,0.03125,0.0
635,192.0,142.0,4.053872053872054,1.623831407979981,0.037037037037037035,0.010101010101010102,0.036105990430782366,0.10152899767205403,0.11819625053248818,1.0,0.03125,0.0
636,196.0,146.0,4.117845117845118,1.7044953644383987,0.06397306397306397,0.010101010101010102,0.03086779672912659,0.09582933068389392,0.12195828763153756,1.0,0.0625,0.0
637,189.0,137.0,4.074074074074074,1.7756019232359563,0.06734006734006734,0.026936026936026935,0.03424231196510911,0.10511017131238344,0.11245050423275085,1.0,0.0,0.0
638,192.0,137.0,4.124579124579125,1.6579474678133994,0.037037037037037035,0.013468013468013467,0.0483593741398393,0.1145103192785106,0.15632938051060555,1.0,0.03125,0.0
639,196.0,144.0,4.01010101010101,1.6807182376920777,0.05723905723905724,0.016835016835016835,0.03805622205332762,0.1004611624006714,0.10490251498002642,1.0,0.0625,0.0
640,187.0,129.0,4.043771043771044,1.5959027678867976,0.04040404040404041,0.006734006734006734,0.05300702856180151,0.13968444770568955,0.10769134536608788,1.0,0.03125,0.0
641,195.0,142.0,4.087542087542087,1.6694158192378459,0.05387205387205387,0.013468013468013467,0.03656371220142726,0.09848123690927818,0.1247511897234328,1.0,0.03125,0.0
642,167.0,113.0,3.8855218855218854,1.651555479554434,0.04377104377104377,0.020202020202020204,0.036774072446403,0.1093362702671544,0.09004859208243908,1.0,0.03125,0.0
643,195.0,142.0,4.0673400673400675,1.6254014771112033,0.037037037037037035,0.006734006734006734,0.03192656023300065,0.09053248555976269,0.11684893954731218,1.0,0.0625,0.0
644,195.0,149.0,4.205387205387205,1.7315369289354687,0.05387205387205387,0.020202020202020204,0.037059142728685504,0.09248536513107235,0.11990115196917508,1.0,0.03125,0.0
645,182.0,127.0,3.9696969696969697,1.5534552264213692,0.026936026936026935,0.013468013468013467,0.04402603028202599,0.11115517559531934,0.11010117755307584,1.0,0.03125,0.0
646,194.0,139.0,4.013468013468014,1.6163580127582622,0.04040404040404041,0.020202020202020204,0.030739985192890763,0.0941093787116774,0.08883006398384752,1.0,0.03125,0.0
647,194.0,138.0,3.9696969696969697,1.64196571929019,0.05387205387205387,0.016835016835016835,0.04415810341367729,0.11134093696689135,0.10501537564806104,1.0,0.09375,0.0
648,187.0,137.0,3.909090909090909,1.6190630521445766,0.04377104377104377,0.006734006734006734,0.0396337919754134,0.09910001153492759,0.10670971748892555,1.0,0.0,0.0
649,184.0,128.0,3.925925925925926,1.5873769422549246,0.050505050505050504,0.010101010101010102,0.03016547769280579,0.08940677233139387,0.09463490042529754,1.0,0.03125,0.0
650,187.0,136.0,3.8181818181818183,1.5133322411131847,0.04713804713804714,0.003367003367003367,0.038399325951857806,0.10822733555210595,0.11261640904154319,1.0,0.0,0.0
651,185.0,130.0,3.8686868686868685,1.6016392989797432,0.04040404040404041,0.013468013468013467,0.041619200411996446,0.11568175416452467,0.1275414027204602,1.0,0.0,0.0
652,193.0,139.0,4.074074074074074,1.6313122626329808,0.03367003367003367,0.020202020202020204,0.04276982807321055,0.11654833866866102,0.1278906457977736,1.0,0.0,0.0
653,184.0,124.0,3.9562289562289563,1.657988494100289,0.050505050505050504,0.02356902356902357,0.040656437255867456,0.12121274864606205,0.11739284193128782,1.0,0.0,0.0
654,184.0,131.0,3.8754208754208754,1.5873983674782568,0.050505050505050504,0.013468013468013467,0.04080361308711895,0.10030871722415281,0.15189680365888356,1.0,0.0,0.0
655,195.0,145.0,4.127946127946128,1.6050614882104006,0.04377104377104377,0.013468013468013467,0.045680827162406734,0.11582229169370968,0.17979291908694817,1.0,0.15625,0.0
656,183.0,123.0,4.013468013468014,1.6513907290178036,0.04377104377104377,0.020202020202020204,0.03825238050969116,0.09615369797504532,0.11858533827724486,1.0,0.0625,0.0
657,187.0,131.0,4.124579124579125,1.5681924360443056,0.050505050505050504,0.006734006734006734,0.0336455669512387,0.10258179767540482,0.12720477052133644,1.0,0.125,0.0
658,177.0,119.0,3.8518518518518516,1.5280557853372472,0.04377104377104377,0.006734006734006734,0.04850541955437946,0.12527263837468328,0.11052344765672117,1.0,0.03125,0.0
659,185.0,135.0,3.9797979797979797,1.6410955401750533,0.04713804713804714,0.010101010101010102,0.05096228762030873,0.11497493511500509,0.1301425014214856,1.0,0.0,0.0
